PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-05-30,19:14:58.43,1,1,"Penrod, Zach",683068,Left,MIS_PAD,"Smith II, Milton",681999,Left,ROC_VIB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.31184,-5.371243,3.606587,2322.025118,154.679871,11:15,6.51717,-2.24442,6.01997,-14.22316,16.96773,-7.60103,0.33239,0.4671,87.46061,-8.039714,2.242641,0.401962,,,,,,,,,,,,4.83103,10.35942,1.96603,50,6.08683,-8.28232,-136.41204,-13.28881,9.22377,26.27645,-12.39498,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,8f6bb2e0-ff50-11ed-b453-ebf3d8e2a684,93.77109,,,6.85123,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:14:58.43,2023-05-30T19:14:58.4308268-06:00,2023-05-31T01:14:58.4308268Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,7e1310ba-4992-4b47-bf20-0e602c07e04e,54.4807,-137.27243,13.13823,6.51531,-12.88295,-6.19749,2.24217,-8.58434,4.61188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-05-30,19:15:11.62,1,2,"Penrod, Zach",683068,Left,MIS_PAD,"Smith II, Milton",681999,Left,ROC_VIB,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.98284,-2.922939,3.832704,2278.693963,150.799357,11:00,6.56807,-2.07916,6.01722,-18.02261,14.71036,-7.6841,2.35032,0.83594,84.9127,-6.302053,2.454486,0.411779,,,,,,,,,,,,4.91528,8.60737,1.78263,50,6.32844,-8.60842,-133.33993,-7.38924,8.93729,25.99947,-16.52348,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,974e21a0-ff50-11ed-b453-ebf3d8e2a684,91.53562,,,7.07014,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:15:11.62,2023-05-30T19:15:11.6217900-06:00,2023-05-31T01:15:11.6217900Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,535f7248-6295-4495-8299-4860de9f25d0,54.48128,-134.21087,12.99974,6.56669,-6.83573,-8.26174,2.07601,-8.90781,4.46865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-05-30,19:15:23.04,1,3,"Penrod, Zach",683068,Left,MIS_PAD,"Smith II, Milton",681999,Left,ROC_VIB,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.79459,-1.990248,5.016642,2303.496943,146.113556,10:45,6.53049,-2.22662,6.0888,-16.78154,14.74363,-9.26441,3.28317,1.65377,86.20307,-5.158534,3.357745,0.40411,,,,,,,,,,,,6.05181,8.40563,1.84363,50,6.36738,-11.52116,-135.81951,-5.25498,11.3895,27.65137,-16.35465,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,9e197b10-ff50-11ed-b453-ebf3d8e2a684,93.27262,,,7.59152,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:15:23.04,2023-05-30T19:15:23.0486572-06:00,2023-05-31T01:15:23.0486572Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,c20bed47-4c5e-4c79-9568-f12882343847,54.40901,-136.71418,13.82568,6.52884,-4.72582,-8.17733,2.22236,-11.88968,5.69475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-05-30,19:15:34.29,1,4,"Penrod, Zach",683068,Left,MIS_PAD,"Smith II, Milton",681999,Left,ROC_VIB,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.37164,-3.024034,3.608425,2359.014349,151.97471,11:00,6.51308,-2.33901,6.14884,-16.30025,15.33339,-7.66079,2.35243,0.36111,86.06747,-6.101193,2.230511,0.404805,,,,,,,,,,,,4.90898,9.01312,2.06825,50,6.27397,-8.22141,-135.40119,-7.66258,9.18731,27.31684,-15.30579,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,a4d459c0-ff50-11ed-b453-ebf3d8e2a684,93.11258,,,7.30416,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:15:34.29,2023-05-30T19:15:34.2974508-06:00,2023-05-31T01:15:34.2974508Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,20fd7bce-3a56-42d3-a541-efe7ed2d8071,54.35052,-136.27607,13.65842,6.51153,-7.17238,-7.65289,2.33627,-8.51565,4.59366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-05-30,19:15:56.48,1,5,"Penrod, Zach",683068,Left,MIS_PAD,"Smith II, Milton",681999,Left,ROC_VIB,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,96.15116,-4.094041,3.541883,2531.103469,158.218979,11:15,6.58919,-2.38288,5.93181,-10.69497,19.59155,-7.44437,1.88587,0.28699,88.12125,-6.159398,2.208837,0.396092,,,,,,,,,,,,4.74977,11.41965,2.10391,50,6.25503,-8.27448,-139.14812,-10.25718,9.34913,30.07416,-9.69641,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,b2043480-ff50-11ed-b453-ebf3d8e2a684,95.16084,,,8.02991,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:15:56.48,2023-05-30T19:15:56.4890000-06:00,2023-05-31T01:15:56.4890000Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,7b20a0ff-08d8-4fe4-a8cb-7440d0cb33bc,54.56556,-140.1314,15.03708,6.58521,-9.94015,-4.84821,2.37945,-8.58015,4.67456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25059,2.978586,1.920358,1.058228,-0.3743,1.6911,-0.35537,-1.1122,4.58632,-2.34256,73.7957,10.16915,-50.97115,-1.037,74.84837,-3.87691,4.70324,20.82904,-14.75491,-2.47113,-50.88758,4.72856,High,High,High,,,High,High,High
6,2023-05-30,19:16:26.07,2,1,"Penrod, Zach",683068,Left,MIS_PAD,"Michaels, Nick",1000137915,Right,ROC_VIB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.96527,-4.59258,4.749891,2572.374139,163.878542,11:30,6.52595,-2.4419,5.97471,-10.61615,19.25938,-5.29032,1.36003,1.53059,88.85069,-6.638244,3.804669,0.393395,,,,,,,,,,,,4.03146,11.47571,2.06847,50,6.15499,-11.40508,-140.05355,-11.57874,8.02773,30.87698,-9.3227,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,c3a8a770-ff50-11ed-b453-ebf3d8e2a684,95.81313,,,8.11457,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:16:26.07,2023-05-30T19:16:26.0757548-06:00,2023-05-31T01:16:26.0757548Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,86f3a715-eb59-44ed-86be-6fdb8a54499b,54.52449,-141.04752,15.43849,6.52289,-11.27863,-4.66135,2.43977,-11.6635,4.01386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-05-30,19:16:36.61,2,2,"Penrod, Zach",683068,Left,MIS_PAD,"Michaels, Nick",1000137915,Right,ROC_VIB,Undefined,1,Top,1,1,0,ChangeUp,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.87467,-2.097318,3.998648,2392.478857,198.163321,12:30,6.25278,-2.65283,6.03616,-30.29852,4.61236,1.20059,1.78029,1.15577,82.67152,-7.657115,4.21405,0.425257,,,,,,,,,,,,0.34933,3.16374,2.33973,50,6.07204,-9.06186,-128.95907,-5.75711,0.59544,23.75577,-26.78134,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,c9f6e1a0-ff50-11ed-b453-ebf3d8e2a684,88.63442,,,6.20314,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:16:36.61,2023-05-30T19:16:36.6163500-06:00,2023-05-31T01:16:36.6163500Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,94d46ddf-4da3-4ed0-93d2-a203fdef9777,54.46423,-129.77883,11.87789,6.25475,-4.83294,-13.39067,2.65279,-9.08241,0.29772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-05-30,19:16:48.03,2,3,"Penrod, Zach",683068,Left,MIS_PAD,"Michaels, Nick",1000137915,Right,ROC_VIB,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.91651,-4.071482,3.073038,2542.928335,167.373242,11:30,6.44573,-2.30067,6.00902,-12.31946,18.12485,-3.83689,1.63541,0.22925,87.64801,-6.432881,2.384442,0.397122,,,,,,,,,,,,2.84382,10.78284,2.06137,50,6.11848,-7.28463,-138.84634,-10.24402,5.5456,31.39806,-11.14707,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,d0c52140-ff50-11ed-b453-ebf3d8e2a684,94.91389,,,8.2685,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:16:48.03,2023-05-30T19:16:48.0342060-06:00,2023-05-31T01:16:48.0342060Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,b6b4e75c-cc37-49ac-a63a-9310d3a5fefb,54.48871,-139.85771,15.69903,6.44267,-9.88496,-5.57353,2.2989,-7.46326,2.7728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-05-30,19:17:08.67,2,4,"Penrod, Zach",683068,Left,MIS_PAD,"Michaels, Nick",1000137915,Right,ROC_VIB,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.0144,-0.857691,3.72612,2402.231127,260.022862,2:45,6.13593,-2.73101,5.94413,-34.85211,1.82681,4.42689,2.43429,1.09894,80.52632,-7.250631,4.519077,0.435893,,,,,,,,,,,,-1.31374,1.48327,2.43146,50,6.04781,-8.40164,-126.28193,-3.08865,-2.13584,24.08403,-29.76263,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,dd160db0-ff50-11ed-b453-ebf3d8e2a684,86.47183,,,6.48808,,,,,,,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:17:08.67,2023-05-30T19:17:08.6798380-06:00,2023-05-31T01:17:08.6798380Z,,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,2a5d4ea4-fe8c-40b0-bd38-0e5e9bb47a92,54.55507,-127.14769,12.04201,6.13961,-2.01877,-14.88132,2.73209,-8.32486,-1.06792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-05-30,19:17:20.59,2,5,"Penrod, Zach",683068,Left,MIS_PAD,"Michaels, Nick",1000137915,Right,ROC_VIB,Undefined,1,Top,1,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,96.42289,-3.25244,3.832947,2549.643985,161.430868,11:30,6.27983,-2.42917,6.0032,-12.75253,17.34875,-5.50091,2.19367,0.66904,88.10004,-5.694318,2.847159,0.394879,80.94338,-18.784499,-19.493508,,,,,7.38217,7.38217,-24.217854,0.058124,3.89858,10.12544,2.13053,50,6.01638,-9.10691,-139.60068,-8.31903,7.69285,31.44971,-12.19413,MIS_PAD,ROC_VIB,OgrenPark,Independent,PIO,20230530-OgrenPark-2,e42ec3d0-ff50-11ed-b453-ebf3d8e2a684,95.4532,2.22715,,8.32286,,,,0.55981,2.22715,-0.84315,c3a11eb5-f8ee-4979-904a-4acaf63c13cc,2023-05-31,01:17:20.59,2023-05-30T19:17:20.5992492-06:00,2023-05-31T01:17:20.5992492Z,GroundBall,v3,518,551,,"Bernard, Austin",676640,Right,MIS_PAD,c047da8d-5fa0-403d-9c7b-60eff37afa06,54.49432,-140.60953,15.72486,6.27697,-7.92786,-6.09707,2.42662,-9.35368,3.84643,180,0.55751,106.1975,,,,,,,,2.22798,-38.31687,,,,,,,,-0.84233,-37.59296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
